MIAC Championships,Joe Coffey,St. Olaf,25:56.9,1,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Ryan Bugler,Saint John's,26:06.6,2,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Jovan Newsum,Saint Mary's,26:08.8,3,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Thomas  Knobbe,Gustavus Adolphus,26:16.2,4,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Alex Berhe,St. Olaf,26:17.3,5,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Evan  Jones,Gustavus Adolphus,26:18.8,6,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Trevor Smith,St. Thomas,26:29.5,7,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Maxwell Kuzara,Saint John's,26:36.1,8,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Tremayne Collins,Saint John's,26:41.9,9,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,William Anderson,St. Olaf,26:43.2,10,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Cameron Meikle,Carleton,26:45.1,11,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Jacob Eggers,St. Olaf,26:45.5,12,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Carston  Dammann,Gustavus Adolphus,26:46.6,13,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Tris Dodge,Carleton,26:47.1,14,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Walter Edstrom,Carleton,26:47.3,15,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Jack Henschel,St. Olaf,26:48.3,16,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,James Logan,Hamline,26:49.5,17,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Thomas Lerdall,St. Olaf,26:51.3,18,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Abdullahi Salan,Augsburg,26:53.1,19,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Eric Bakken,St. Olaf,26:54.2,20,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Brandon Franta,Saint John's,26:55.0,21,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Alex Wischnack,Gustavus Adolphus,26:57.5,22,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Parker Rosenau,St. Thomas,26:57.9,23,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Adam Brandt,St. Thomas,26:59.8,24,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Sam Bell,Hamline,27:02.1,25,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Matthew Burgstahler,Saint John's,27:02.4,26,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Lachlan Hinwood,Macalester,27:02.6,27,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Allen-Michael Burback,St. Thomas,27:03.5,28,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Andrew Fritz,St. Thomas,27:03.6,29,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Evan Hatton,Bethel,27:05.7,30,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Seth Glidewell,St. Thomas,27:06.7,31,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Marcus Speca,Gustavus Adolphus,27:11.0,32,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Fernando  Benitez,Hamline,27:11.8,33,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Andrew Plumb,St. Olaf,27:16.6,34,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Austin O'Hare,Saint Mary's,27:18.3,35,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Joseph Rabaey,Saint John's,27:19.6,36,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Alex Fredrickson,Gustavus Adolphus,27:21.6,37,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Ryley Sandberg,Gustavus Adolphus,27:22.3,38,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Brandon Krogman,Saint Mary's,27:29.9,39,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,John Mark Shields,Bethel,27:30.3,40,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Kyle Mehrhof,Hamline,27:30.6,41,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Daniel Mahota,St. Thomas,27:30.6,42,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Tony Duchenes,Hamline,27:32.1,43,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Chris Boranian,Macalester,27:32.4,44,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Lukas Buehler,Saint John's,27:34.4,45,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,David Huffman,Bethel,27:37.6,46,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,James Doherty,Macalester,27:38.4,47,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Spencer Urick,St. Thomas,27:39.3,48,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Eric Wicklund,Concordia-Moorhead,27:39.5,49,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Chris Huss,Augsburg,27:40.4,50,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,John Benson,Gustavus Adolphus,27:41.1,51,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Scott Helstad,St. Thomas,27:41.1,52,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Hiroshi Nakajima,Carleton,27:42.4,53,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Justin Furcich,St. Olaf,27:45.0,54,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Daniel Zoltek,Saint John's,27:45.6,55,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Nate Webster,St. Olaf,27:45.8,56,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Sam Nelson,Bethel,27:46.1,57,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Sam  Friesen,Saint John's,27:46.3,58,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Christopher Brenk,St. Olaf,27:47.0,59,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Cullen Irvine,Carleton,27:50.5,60,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Henry Harper,Macalester,27:53.0,61,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Elliot Kadrofske,St. Olaf,27:53.9,62,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Andy Barnhart,Bethel,27:54.1,63,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Matthew Lillehaugen,Concordia-Moorhead,27:55.7,64,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Collin Kiley,St. Thomas,27:56.3,65,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Henry Boettcher,Saint John's,27:57.8,66,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Richard Peterson,St. Thomas,27:58.5,67,2016,"Como Park Golf Course, St. Paul"
MIAC Championships,Nick Sokolowski,St. Olaf,27:59.1,68,2016,"Como Park Golf Course, St. Paul"
