MIAC Championships,Ben Sathre,St. Thomas,24:54,1,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Devin Monson,Hamline,25:26,2,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Jack Deichert,Hamline,25:27,3,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Ellis Richardson,Hamline,25:28,4,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Tom Sederquist,Concordia-Moorhead,25:30,5,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Grant Wintheiser,St. Olaf,25:36,6,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Zach Haskins,Bethel,25:45,7,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Brian Saksa,St. Olaf,25:48,8,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Matt Schafer,Bethel,25:53,9,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Tim Lillehaugen,St. Olaf,25:54,10,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Patrick Boland,St. Olaf,26:00,11,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Marcus Huderle,Carleton,26:03,12,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Joe Giamberdino,Macalester,26:04,13,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Micheale Tesema,Augsburg,26:05,14,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Matt Berens,Bethel,26:06,15,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Colin Rogers,Hamline,26:13,16,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Bobby Davis,Carleton,26:20,17,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Ruairi Moynihan,Saint John's,26:21,18,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Josh Wold,St. Olaf,26:21,19,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Brendan Ruter,Hamline,26:22,20,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Matt Scherber,Saint John's,26:23,21,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,David Feather,Saint Mary's,26:24,22,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Joe Gair,Saint John's,26:26,23,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,John Subialka,Saint John's,26:27,24,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Jordan Fladland,Saint John's,26:27,25,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Dillon Emo,Gustavus Adolphus,26:29,26,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Tanner Sakrismo,Concordia-Moorhead,26:33,27,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Aaron Haley,Saint Mary's,26:34,28,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Nate Dobbins,Hamline,26:35,29,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Bjorn Thompson,St. Olaf,26:38,30,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Brent Schultz,Bethel,26:40,31,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Tyler Iverson,St. Thomas,26:40,32,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Dillon Davis,St. Olaf,26:42,33,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Brian Anderson,St. Thomas,26:43,34,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Nate Engel,Saint John's,26:44,35,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Andy Clasen,Saint John's,26:47,36,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Mark Bartley,Gustavus Adolphus,26:48,37,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Brian Tomlinson,St. Olaf,26:56,38,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Peter Borash,Saint Mary's,26:56,39,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Stu Lombardo,St. Thomas,26:57,40,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Jacob Hoerger,Carleton,27:00,41,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Matt Perkovich,St. Olaf,27:04,42,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,John Christian,St. Olaf,27:05,43,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Anders Bowman,Gustavus Adolphus,27:07,44,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Chris Reisdorfer,Hamline,27:10,45,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Joe Arnold,Augsburg,27:13,46,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Ben Rascher,St. Thomas,27:14,47,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Matt Harrison,Carleton,27:17,48,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Carl Biggers,Macalester,27:19,49,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,John Soucheray,Saint Mary's,27:21,50,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Kellen McMillan,St. Olaf,27:22,51,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Grant Cook,Saint John's,27:22,52,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Ben Mayhew,Macalester,27:22,53,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Kian Flynn,Carleton,27:22,54,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Jake Traxler,Saint Mary's,27:23,55,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Crawford Hubbell,St. Thomas,27:24,56,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Josh Campbell,Carleton,27:26,57,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,David Ohman,Hamline,27:28,58,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Chris Gill,Hamline,27:29,59,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Anders Nienstaedt,St. Olaf,27:30,60,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Alex Thornton,Gustavus Adolphus,27:31,61,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Preston Tomlinson,Gustavus Adolphus,27:31,62,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Dan Voss,Macalester,27:32,63,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Austin Woetzel,Bethel,27:33,64,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Ryan Lawrence,Carleton,27:34,65,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Connor Gjevre,Saint John's,27:34,66,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Mike Waltman,Macalester,27:35,67,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Andy Kleven,St. Olaf,27:36,68,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Robby McGuire,Saint Mary's,27:38,69,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Leighton Becher,Gustavus Adolphus,27:39,70,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Aron Block,St. Olaf,27:40,71,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Chas Karch,Carleton,27:42,72,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Thor Laack-Veeder,Carleton,27:44,73,2011,"Como Park Golf Course, St. Paul"
MIAC Championships,Ryan Sederquist,Concordia-Moorhead,27:45,74,2011,"Como Park Golf Course, St. Paul"
