1,Dan Greeno
2,Ian Bauer
3,Ben Sathre
4,Jacob Marotz
5,Wade Ekstrom
6,Devin Monson
7,Brian Sames
8,Ruon Dobuol
9,Brent Haglund
10,Dustin Franta
11,Ben Rodriguez
12,Ben Wilson
13,Mike Connell
14,Patrick Lowder
15,Jamison Hull
16,Tyler Iverson
17,Shane Wyborny
18,Ellis Richardson
19,Chris Massey
20,Andy Johnson
21,David Forster
22,Charlie Gamble
23,Jon Lambert
24,John Davis
25,Ruairi Moynihan
26,Adrian Swanson
27,Matt Schafer
28,Ian Campbell
29,Carl Biggers
30,Colin Rogers
31,Ryan Noack
32,Nick Ross
33,Nate Walker
34,Victor Sanchez
35,Bobby Davis
36,John Kennedy
37,Zach Haskins
38,Max Hanson
39,Denny Meints
40,Nate Dobbins
41,David Feather
42,Josh Campbell
43,Peter Borash
44,Andrew Nussbaum
45,Brian Farley
46,Joel Dieterich
47,Geoff Gillmor
48,Jordan Fladland
49,Sam Greeno
50,Colin Sinclair
51,Mark Hartman
52,Andrew Stevens
53,Chris Rivers
54,Andrew Clasen
55,Dale Dybvig
56,Matt Harren
57,Chris Marshall
58,Greg Dowe
59,Crawford Hubbell
60,Blake Hansen
61,Tim Lillehaugen
62,Tom Hoffman
63,Pat Bryant
64,Carson Smith
65,Austin Hinrichs
66,Jack Deichert
67,Jeremy Kuhn
68,Nick Michalak
69,Perk Perkovich
70,Joel McDougall
71,Brian Anderson
72,Chris Reisdorfer
73,Josh Gunderson
74,Jim Leschke
75,Andrew Boeddeker
76,Alex Thornton
77,Daniel Friedrichsen
78,Grant Cook
79,Nick Mangigian
80,Stu Lombardo
81,Josh Wold
82,Mark Bartley
83,Kellen McMillen
84,John Vallez
85,Adrian St Francis
86,Paul Lillehaugen
87,Mike Reponen
88,George Williams
89,Brian Tomlinson
90,Ryan Norman
91,Steven Lubner
92,Dylan Cheever
93,Robby McGuire
94,Reid Gilbertson
95,Pat Boland
96,Quentin Moore
97,Brendan Ruter
98,Michael Mockler
99,Joe Paille
100,Brent Schultz
101,Paul Schoeneberger
102,Adam Lund
103,Zach Stevens
104,Ben Carlson
105,Jon Bassen
106,Ben Jacobson
107,Greg Moravec
108,Brandon Huether
109,Aron Block
110,Kian Flynn
111,Austin Erickson
112,Tony Gerten
113,Brad McConn
114,Jon Kittaka
115,Benton Kodet
116,Tyler Etheridge
117,Luke Olmstead
118,Avery Bowran
119,Ryan Miller
120,Jason Chrudimsky
121,Michael Sanders
122,Matt Mehr
123,Matt McKeever
124,Cristian Raether
125,Collin Hager
126,Justin Ivory
127,Joe Arnold
128,Mike Wolter
129,Adam Scherling
130,Ethan Gutzmann
131,David Ohmann
132,Aaron Hirsh
133,Chas Karch
134,Ben Ehlers
135,Nick Krinkie
136,Jon Kasprisin
137,Ross Anderson
138,Michael Knudson
139,Nick Johnson
140,John Collier
141,Mike Mittelsteadt
142,Jeremy Bock
143,Adam Fitzgerald
144,Dan Gerber
145,Fankie Heller
146,Peter Schoen
147,Spencer McCombs
148,Allan Kroyer
149,Ian Nystrom
150,Reid McMurry
151,Robert Gerten
152,Jp Cartier
153,Will Roberson
154,Alex Stewart
155,Ryan Powley
156,Ryan Winegardner
157,Bryan Hulse
158,Collin Cousins
159,Michael Jaeger
160,Michael Kuhlman
161,Joe Kilkus
162,Ben Parks
163,Eric Larson
164,Nathan Amberg
165,Mark Petersen
166,Zach Davis
167,Todd Alle
168,Ben Fraase
169,Eric Juven
170,Patrick Sitzer
171,Dan Maxbauer
172,Joe Gair
173,Kaleb Johnson
174,Joe Macula
175,Austin Wagner
176,Chris Bowman
177,David Haugen
178,Carl Petri
179,Andy Hardt
180,John Leonard
181,Colin Sheehan
182,Ryan Sutley
183,Luke Merickel
184,Peter Ohm
185,Ben Whalen
186,Hans Gunness
187,Evan Johnson
188,Spencer Hinseth
189,Matt Clasen
190,Will Matchett
191,Andrew Nelson
192,Michael Douglas-White
193,Luke Rustad
194,Joe Marren
195,Jake Rhode
196,Justin Brunkow
197,Brad Johnson
198,Eric Bly
199,Steve Krouse
200,Robert Bruening
201,Andrew Overson
202,Nate Korf
203,Joe O'Neil
204,Tyler Nelson
205,Tom Sederquist
206,Anders Bowman
207,Matt Scherber
208,Marcus Huderle
209,Anders Nienstaedt
210,Auburn Jimenez
211,Brian Saksa
212,John Christian
213,Guthrie Cunningham
214,Ben Bayer
215,Matt Perkovich
216,Micheale Tesema
217,John Subialka
218,Seth Rosvold
219,Tanner Sakrismo
220,Nate Engel
221,Nick Evens
222,Matt Neufeld
223,Eric Klein
224,William Manaker
225,Cj Seifert
226,John Soucheray
227,Ethan Armbruster
228,Preston Tomlinson
229,Aaron Thompson
230,Peter Steele
231,Chad Claybaugh
232,Dillon Davis
233,Dakota Darkstar
234,Kurt Prieve
235,Jimmy Backes
236,Joe Fisketti
237,Connor Gjevre
238,Michael Dunn
239,Matt Harrison
240,John Taylor
241,Charles Schweitzer
242,Jacob Hoerger
243,Christian Folken
244,Jake Traxler
245,Jacob Stunek
246,Justin Rose
247,Mike Roth
248,Eric Jorgenson
249,Tim Erickson
250,Matthew Fitzgerald
251,Stefan Lemke
252,Cole Volkman
253,Austin McCoy
254,Andrew Kleven
255,Daniel Bakken
256,Justin Jurek
257,Eric Biggers
258,Matt Barrett
259,Oliver St John
260,Tyler Berndt
261,Zach Brintz
262,Duncan Secor
263,James Alpers
264,Ian O'Neill
265,Scott Anderson
266,Brian Spisiak
267,Nick Peterson
268,Mark Greci
269,Alex Jorgenson
270,Willie Versen
271,Conner Griffin
272,Frankie Heller
273,Mark Riegel
274,Alex Trujillo
275,Max Tusa
276,Mark Bostrom
277,Adam Napolitano
278,David Ohman
279,John Gard
280,Sam Fransen
281,"Brandon RichardWebster,"
282,Kevin Healy
283,Dan Voss
284,Ryan Lawrence
285,Ben Weiner
286,Hunter Melius
287,Carlos Martinez
288,Erik Germundsen
289,Andy Rothfusz
290,Joe Schubert
291,Terence Steinberg
292,Lucas Foley
293,John Amundson
294,Joseph Renier
295,Erik Slette
296,Jeff Emery
297,Michael Tolan
298,David Lunzer
299,Anders Culver
300,Kyle Obermann
301,Cooper Dodds
302,Bryton Overton
303,Adam Carlsen
304,Joe Dooher
305,Jordan Ringquist
306,Cody Voll
307,Mark Steingraeber
308,Andrew Fuglestad
309,Andrew Zabel
310,Cody Howe
311,David Ellison
312,Palmer Fliss
313,Steven Krouse
314,Dan Wilson
315,Spencer Retelle
316,Nick Neutkens
317,Caleb Giesen
318,Phil Juda
319,Loren Johnson
320,Sam Espey
321,Eric Steuck
322,Nat Froiland
323,Patrick Thornton
324,Logan Johnson
325,Grant Wintheiser
326,Patrick Boland
327,Joe Giamberdino
328,Matt Berens
329,Dillon Emo
330,Aaron Haley
331,Bjorn Thompson
332,Andy Clasen
333,Ben Rascher
334,Kellen McMillan
335,Ben Mayhew
336,Chris Gill
337,Austin Woetzel
338,Mike Waltman
339,Andy Kleven
340,Leighton Becher
341,Thor Laack-Veeder
342,Ryan Sederquist
343,Andy Keefe
344,Jake Stunek
345,Paul Berg
346,Evan Olson
347,Ricky Devine
348,Scott Haidet
349,Brian Byrnes
350,Phil Meyer
351,Tanner Davenport
352,Eric Mueller
353,Robby Williams
354,Noah Laack-Veeder
355,Colin Charpentier
356,Paul Frekot
357,Joesph Renier
358,Zach Greimann
359,Luke Iverson
360,Kyle Rossow
361,Shane Harlow
362,Colton Rod
363,Chris Bernard
364,Dan Bakken
365,Scott Fusco
366,Chris Folken
367,Dan Kremer
368,Bob Gerten
369,Ryan Peterson
370,Connor Jackson
371,Tom Sigwalt
372,Andreas Rekdahl
373,Ollie St John
374,Alex Weberg
375,Scott Dick
376,Steven Donahue
377,Kyle Froeber
378,Andrew Labeau
379,Gus Demann
380,Connor Franta
381,Bill Grimm
382,James McLean
383,Harrison Hitt
384,Schuyler Canfield
385,Dan Philpot
386,Matt Carlson
387,Miles Ross
388,Tim Peterson
389,Zach Bice
390,Erik Gartland
391,Danny Wilson
392,Andy Meyer
393,Drew Fuglestad
394,Dan Minea
395,John Buckanaga
396,Kyle Wagener
397,Gustav Danielsson
398,Ben Levy
399,Alex Hintz
400,Oliver Heywood
401,Luke Lagergren
402,Howard Mukanda
403,Derek Ballandby
404,Jordan Pesik
405,Joe Fischer
406,Ryan McInturf
407,Alan Farnsworth
408,Jeremy Welters
409,Patrick Armstrong
410,Nick Theisen
411,Dylan Saul
412,Ryan Weiss
413,Alex Phearman
414,Russell Brown
415,Henry Dobbs
416,Andy Pettengill
417,Prestin Schwichtenberg
418,Logan Schwinghammer
419,Michaeljon Hayden
420,Brandon Richardwebster
421,Mitch Messner
422,Alex Benzegala
423,Devon Bealke
424,Ian Miles
425,Keaton Wendroth
426,Jake Campbell
427,Calvin Lehn
428,Thomas Feichtinger
429,Nathan Rock
430,Preston Zimny
431,Paul Escher
432,Phillip Meyer
433,Matthew Poss
434,Tyler Krpan
435,Nate Rue
436,Joe Haase
437,Jack Inglis
438,Scott Sippel
439,Nick Letourneau
440,Cole Konczal
441,Alex Schroeder
442,Trevor Maggart
443,Charlie Baird
444,Jase Pater
445,Nick Jackson
446,Evan Kendall
447,Lukas Buehler
448,Caleb LeClaire
449,Jake Burr
450,Andrew Hansen
451,Gabe Thiel
452,Josh Schaffer
453,Spencer Castillo
