MIAC Championships,Noah Laack-Veeder,Carleton,27:14.5,55,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Dylan Saul,Macalester,27:17.4,56,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Jack Inglis,St. Olaf,27:18.9,57,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Scott Sippel,Saint John's,27:18.9,58,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Chris Reisdorfer,Hamline,27:19.2,59,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Leighton Becher,Gustavus Adolphus,27:20.2,60,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Zach Brintz,St. Thomas,27:20.3,61,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Ryan Sederquist,Concordia-Moorhead,27:20.8,62,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Nick Letourneau,St. Thomas,27:21.1,63,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Harrison Hitt,Bethel,27:21.3,64,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Matt Harrison,Carleton,27:22.4,65,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Josh Campbell,Carleton,27:22.9,66,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Cole Konczal,Hamline,27:23.8,67,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Eric Jorgenson,Gustavus Adolphus,27:23.9,68,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Alex Schroeder,St. Thomas,27:24.6,69,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Chad Claybaugh,Gustavus Adolphus,27:24.7,70,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Joseph Renier,Gustavus Adolphus,27:24.7,71,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Justin Ivory,Bethel,27:25.0,72,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Trevor Maggart,Macalester,27:25.6,73,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Kellen McMillen,St. Olaf,27:27.8,74,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Charlie Baird,St. Olaf,27:30.3,75,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Mike Waltman,Macalester,27:30.6,76,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Brian Tomlinson,St. Olaf,27:30.7,77,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Scott Haidet,St. Olaf,27:32.1,78,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Jase Pater,Saint Mary's,27:35.8,79,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Nick Jackson,St. Thomas,27:36.4,80,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Evan Kendall,St. Olaf,27:37.3,81,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Brian Spisiak,Carleton,27:38.0,82,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Schuyler Canfield,Gustavus Adolphus,27:39.6,83,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Kyle Rossow,Saint John's,27:40.0,84,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Lukas Buehler,Saint John's,27:40.9,85,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Eric Biggers,Macalester,27:40.9,86,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Caleb LeClaire,Saint John's,27:41.4,87,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Ryan Peterson,Hamline,27:41.4,88,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Jake Burr,Saint John's,27:42.0,89,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Andrew Hansen,Saint John's,27:42.2,90,2012,"Como Park Golf Course, St. Paul"
MIAC Championships,Gabe Thiel,Saint Mary's,27:43.5,91,2012,"Como Park Golf Course, St. Paul"
